path,base_branches,head_branches,added_branches,base_lines,head_lines,added_lines
api/HelixNote.Api.Authorization.fs,113,125,12,369,402,33
api/HelixNote.Api.CorrectionHandlers.fs,181,212,31,1299,1524,225
api/HelixNote.Data.fs,64,66,2,832,888,56
api/Program.fs,23,23,0,445,450,5
domain/HelixNote.Semantic.Host.Postgres.Tests/FieldVocabularyAgreementTests.fs,12,12,0,137,147,10
domain/HelixNote.Semantic.Host.Postgres.Tests/IntegrationTests.fs,78,82,4,685,756,71
domain/HelixNote.Semantic.Host.Postgres/CorrectionHost.fs,70,75,5,466,482,16
domain/HelixNote.Semantic.Host.Postgres/CorrectionReader.fs,61,71,10,355,377,22
domain/HelixNote.Semantic.Host.Postgres/PostgresHost.fs,60,63,3,605,627,22
domain/HelixNote.Semantic.Tests/Fixtures.fs,9,10,1,127,143,16
domain/HelixNote.Semantic.Tests/StateSystemTests.fs,132,138,6,956,1019,63
domain/HelixNote.Semantic/Protocol.fs,92,98,6,413,445,32
domain/HelixNote.Semantic/Provenance.fs,53,60,7,238,275,37
web-bolero/src/HelixNote.Bolero.Client/Main.fs,1056,1066,10,7283,7342,59
TOTAL,,,97,,,667
FILES_TOUCHED,14
FILES_CREATED,0
