path,base_branches,head_branches,added_branches,base_lines,head_lines,added_lines
api/HelixNote.Api.Authorization.fs,113,125,12,369,403,34
api/HelixNote.Api.CorrectionHandlers.fs,181,213,32,1299,1526,227
api/HelixNote.Api.Handlers.fs,59,60,1,798,852,54
api/HelixNote.Data.fs,64,66,2,832,888,56
api/Program.fs,23,23,0,445,454,9
domain/HelixNote.Semantic.Host.Postgres.Tests/CorrectionReaderTests.fs,201,243,42,912,1097,185
domain/HelixNote.Semantic.Host.Postgres.Tests/IntegrationTests.fs,76,82,6,645,741,96
domain/HelixNote.Semantic.Host.Postgres/CorrectionHost.fs,65,70,5,457,475,18
domain/HelixNote.Semantic.Host.Postgres/CorrectionReader.fs,54,63,9,345,373,28
domain/HelixNote.Semantic.Host.Postgres/PostgresHost.fs,57,60,3,561,588,27
domain/HelixNote.Semantic.Tests/Fixtures.fs,4,4,0,105,125,20
domain/HelixNote.Semantic.Tests/StateSystemTests.fs,132,138,6,955,1052,97
domain/HelixNote.Semantic/Protocol.fs,90,97,7,377,415,38
domain/HelixNote.Semantic/Provenance.fs,48,54,6,233,270,37
web-bolero/src/HelixNote.Bolero.Client/Main.fs,1056,1065,9,7283,7340,57
TOTAL,,,140,,,983
FILES_TOUCHED,15
FILES_CREATED,0
