path,base_branches,head_branches,added_branches,base_lines,head_lines,added_lines
api/HelixNote.Api.Authorization.fs,113,125,12,369,403,34
api/HelixNote.Api.CorrectionHandlers.fs,181,210,29,1299,1525,226
api/HelixNote.Api.Handlers.fs,59,60,1,798,855,57
api/HelixNote.Data.fs,64,66,2,832,886,54
api/Program.fs,23,23,0,445,451,6
domain/HelixNote.Semantic.Host.Postgres.Tests/CorrectionReaderTests.fs,201,230,29,912,1047,135
domain/HelixNote.Semantic.Host.Postgres/CorrectionHost.fs,65,70,5,457,470,13
domain/HelixNote.Semantic.Host.Postgres/CorrectionReader.fs,54,63,9,345,373,28
domain/HelixNote.Semantic.Host.Postgres/PostgresHost.fs,57,60,3,561,588,27
domain/HelixNote.Semantic.Tests/CorrectionTests.fs,150,156,6,806,851,45
domain/HelixNote.Semantic.Tests/Fixtures.fs,4,4,0,105,123,18
domain/HelixNote.Semantic.Tests/StateSystemTests.fs,132,144,12,955,1102,147
domain/HelixNote.Semantic/Protocol.fs,90,97,7,377,416,39
domain/HelixNote.Semantic/Provenance.fs,48,53,5,233,265,32
tests/HelixNote.Api.Http.Tests/WireContractTests.fs,1,1,0,134,181,47
web-bolero/src/HelixNote.Bolero.Client/Main.fs,1056,1062,6,7283,7332,49
TOTAL,,,126,,,957
FILES_TOUCHED,16
FILES_CREATED,0
