path,base_branches,head_branches,added_branches,base_lines,head_lines,added_lines
api/HelixNote.Api.Authorization.fs,113,125,12,369,403,34
api/HelixNote.Api.CorrectionHandlers.fs,181,211,30,1299,1530,231
api/HelixNote.Data.fs,64,66,2,832,884,52
api/Program.fs,23,23,0,445,450,5
domain/HelixNote.Semantic.Host.Postgres.Tests/CandidateReaderTests.fs,30,34,4,269,306,37
domain/HelixNote.Semantic.Host.Postgres.Tests/CorrectionReaderTests.fs,201,237,36,912,1088,176
domain/HelixNote.Semantic.Host.Postgres.Tests/IntegrationTests.fs,76,80,4,645,713,68
domain/HelixNote.Semantic.Host.Postgres/CorrectionHost.fs,65,70,5,457,474,17
domain/HelixNote.Semantic.Host.Postgres/CorrectionReader.fs,54,63,9,345,368,23
domain/HelixNote.Semantic.Host.Postgres/PostgresHost.fs,57,60,3,561,588,27
domain/HelixNote.Semantic.Tests/Fixtures.fs,4,4,0,105,120,15
domain/HelixNote.Semantic.Tests/StateSystemTests.fs,132,148,16,955,1119,164
domain/HelixNote.Semantic/Protocol.fs,90,97,7,377,414,37
domain/HelixNote.Semantic/Provenance.fs,48,54,6,233,269,36
tests/HelixNote.Api.Http.Tests/ReviewEndpointTests.fs,8,8,0,322,379,57
web-bolero/src/HelixNote.Bolero.Client/Main.fs,1056,1062,6,7283,7323,40
TOTAL,,,140,,,1019
FILES_TOUCHED,16
FILES_CREATED,0
