path,base_branches,head_branches,added_branches,base_lines,head_lines,added_lines
api/HelixNote.Api.Authorization.fs,113,125,12,369,402,33
api/HelixNote.Api.CorrectionHandlers.fs,181,213,32,1299,1536,237
api/HelixNote.Data.fs,64,66,2,832,888,56
api/Program.fs,23,23,0,445,450,5
domain/HelixNote.Semantic.Host.Postgres.Tests/FieldVocabularyAgreementTests.fs,12,12,0,137,149,12
domain/HelixNote.Semantic.Host.Postgres.Tests/IntegrationTests.fs,78,82,4,685,756,71
domain/HelixNote.Semantic.Host.Postgres/CorrectionHost.fs,70,75,5,466,483,17
domain/HelixNote.Semantic.Host.Postgres/CorrectionReader.fs,61,70,9,355,379,24
domain/HelixNote.Semantic.Host.Postgres/PostgresHost.fs,60,63,3,605,628,23
domain/HelixNote.Semantic.Tests/Fixtures.fs,9,10,1,127,142,15
domain/HelixNote.Semantic.Tests/StateSystemTests.fs,132,154,22,956,1140,184
domain/HelixNote.Semantic/Protocol.fs,92,101,9,413,454,41
domain/HelixNote.Semantic/Provenance.fs,53,59,6,238,266,28
web-bolero/src/HelixNote.Bolero.Client/Main.fs,1056,1062,6,7283,7328,45
TOTAL,,,111,,,791
FILES_TOUCHED,14
FILES_CREATED,0
